about | prep., adv. [อะเบาท์] | เกี่ยวกับ
poem |n. [โพเอ็ม] | กวีนิพนธ์
poet |n. [โพเอท] | กวี
poetry |n. [โพเอทรี] | กวีนิพนธ์
point |v. [พอยต์] | ชี้, จุด
poison |n., v. [พอยซัน] | ยาพิษ, ทำให้เป็นพิษ
poisonous |adj. [พอยซันนิส] | เป็นพิษ
policy |n. [พอลิซี] | นโยบาย
political |adj. [พอลิทิคัล] | ทางการเมือง
politician |n. [พอลิทิเชียน] | นักการเมือง
politics |n. [พอลิทิคส์] | การเมือง
port |n. [พอร์ต] | ท่าเรือ
portrait |n. [พอร์ตเทรต] | ภาพพอร์ตเทรต
possibly |adv. [พอสซิบลี่] | อาจจะ
pot |n. [พอท] | หม้อ
pour |v. [พัวร์] | เท, ริน
poverty |n. [พอเวอร์ตี] | ความยากจน
powder |n. [พาวเดอร์] | ผง
powerful |adj. [พาวเวอร์ฟูล] | มีอำนาจ
practical |adj. [แพรคทิคัล] | ใช้ได้จริง
pray |v. [เพรย์] | อธิษฐาน
prayer |n. [เพรเยอร์] | การอธิษฐาน
prediction |n. [พรีดิกชัน] | การคาดการณ์
prepared |adj. [พรีแพร์ด] | ที่เตรียมไว้
presentation |n. [พรีเซนเทชั่น] | การนำเสนอ
press |n., v. [เพรส] | สื่อ, กด
pressure |n. [เพรสเชอร์] | ความดัน
pretend |v. [พรีเทนด์] | แสร้งทำ
previous |adj. [พรีวิอัส] | ก่อนหน้า
previously |adv. [พรีวิอัสลี่] | ก่อนหน้านี้
priest |n. [พรีสต์] | พระสงฆ์
primary |adj. [ไพร์มารี] | หลัก, สำคัญที่สุด
prince |n. [พริ้นซ์] | เจ้าชาย
princess |n. [พริ้นเซส] | เจ้าหญิง
printing |n. [พริ้นติ้ง] | การพิมพ์
prisoner |n. [พริซันเนอร์] | นักโทษ
private |adj. [ไพรเวต] | ส่วนตัว
producer |n. [โปรดิวเซอร์] | ผู้ผลิต
production |n. [โปรดักชัน] | การผลิต
profession |n. [โพรเฟสชัน] | อาชีพ
profit |n. [พรอฟฟิต] | กำไร
program |v. [โปรแกรม] | โปรแกรม, ตั้งโปรแกรม
promote |v. [โพรโมท] | ส่งเสริม
proper |adj. [พรอพเพอร์] | เหมาะสม
properly |adv. [พรอพเพอรี่] | อย่างเหมาะสม
property |n. [พรอพเพอร์ตี้] | ทรัพย์สิน
protest |n., v. [โพรเทสต์] | การประท้วง, ประท้วง
proud |adj. [พราวด์] | ภูมิใจ
prove |v. [พรูฟ] | พิสูจน์
pull |n. [พูล] | การดึง
punish |v. [พันนิช] | ลงโทษ
punishment |n. [พันนิชเมนต์] | การลงโทษ
push |n. [พุช] | การผลัก
qualification |n. [ควอลิฟิเคชัน] | คุณสมบัติ
qualified |adj. [ควอลิฟายด์] | ที่มีคุณสมบัติ
qualify |v. [ควอลิฟาย] | มีคุณสมบัติ
queue |n., v. [คิว] | คิว, เข้าแถว
quit |v. [ควิท] | เลิก, หยุด
quotation |n. [ควโทเทชัน] | การอ้างอิง
quote |v., n. [โควท] | อ้างอิง, คำพูด
race (people) |n. [เรซ] | เชื้อชาติ
racing |n. [เรซซิ่ง] | การแข่งรถ
range |n. [เรนจ์] | ขอบเขต, ช่วง
rare |adj. [แรร์] | หายาก
rarely |adv. [แรร์ลี่] | หายาก
reaction |n. [รีแอคชัน] | การตอบสนอง
reality |n. [รีแอลลิตี้] | ความจริง
receipt |n. [รีซีพต์] | ใบเสร็จ
recommendation |n. [เรคคอมเมนเดชัน] | คำแนะนำ
reference |n. [เรฟเฟอเรนซ์] | การอ้างอิง
reflect |v. [รีเฟลกต์] | สะท้อน
regularly |adv. [เรกกูลาร์ลี่] | เป็นประจำ
reject |v. [รีเจ็คท์] | ปฏิเสธ
relate |v. [รีเลต] | เกี่ยวข้อง
related |adj. [รีเลทิด] | ที่เกี่ยวข้อง
relation |n. [รีเลชัน] | ความสัมพันธ์
relative |adj., n. [รีเลทิฟ] | ญาติ, ที่เกี่ยวข้อง
relaxed |adj. [รีแลกซ์ด] | ผ่อนคลาย
relaxing |adj. [รีแลกซิ่ง] | ที่ทำให้ผ่อนคลาย
release |v., n. [รีลีส] | ปล่อย, การปล่อย
reliable |adj. [รีไลเอเบิล] | เชื่อถือได้
religion |n. [รีลิจัน] | ศาสนา
religious |adj. [รีลิจัส] | ทางศาสนา
remain |v. [รีเมน] | เหลืออยู่
remind |v. [รีมายด์] | เตือนความจำ
remote |adj. [รีโมท] | ไกล
rent |n., v. [เร้นท] | ค่าเช่า, เช่า
repair |n. [รีแพร์] | การซ่อมแซม
repeat |n. [รีพีท] | การทำซ้ำ
repeated |adj. [รีพีทิด] | ที่ทำซ้ำ
represent |v. [รีพรีเซนต์] | แทนที่, แสดง
request |v. [รีเควสต์] | ขอร้อง
require |v. [รีไควร์] | ต้องการ
reservation |n. [เรเซอร์เวชัน] | การจอง
resource |n. [รีซอร์ซ] | แหล่งข้อมูล
respect |n., v. [รีสเพ็ค] | ความเคารพ, เคารพ
responsibility |n. [รีสพอนซิบิลลิตี้] | ความรับผิดชอบ
responsible |adj. [รีสพอนซิเบิล] | รับผิดชอบ
result |v. [รีซัลท์] | ผลลัพธ์
retire |v. [รีไทร์] | เกษียณ
retired |adj. [รีไทร์ด] | เกษียณอายุ
revise |v. [รีไวซ์] | แก้ไข
ring |n. [ริง] | แหวน
rise |n. [ไรซ์] | การขึ้น, การเพิ่มขึ้น
risk |n., v. [ริสค์] | ความเสี่ยง, เสี่ยง
robot |n. [โรบอท] | หุ่นยนต์
roll |v., n. [โรล] | ม้วน, การม้วน
romantic |adj. [โรแมนติก] | โรแมนติก
rope |n. [โรพ] | เชือก
rough |adj. [รัฟ] | ขรุขระ
row |n. [โร] | แถว, การพายเรือ
royal |adj. [รอยัล] | ราชวงศ์
rugby |n. [รักบี้] | รักบี้
rule |v. [รูล์] | กฎ, ควบคุม
safety |n. [เซฟตี้] | ความปลอดภัย
sail |n. [เซล] | ใบเรือ
sailor |n. [เซลเลอร์] | ลูกเรือ
sample |n. [แซมเพิล] | ตัวอย่าง
sand |n. [แซนด์] | ทราย
scan |v. [สแกน] | สแกน
scientific |adj. [ไซแอนทิฟฟิค] | ทางวิทยาศาสตร์
script |n. [สคริปต์] | บทละคร, การเขียน
sculpture |n. [สคัลป์เจอร์] | ประติมากรรม
secondary |adj. [เซคันดารี] | รอง, ที่สอง
security |n. [ซิเคียวริตี้] | ความปลอดภัย
seed |n. [ซีด] | เมล็ด
sensible |adj. [เซนซิเบิล] | มีเหตุผล
separate |v. [เซพาเรท] | แยก, แยกออก
seriously |adv. [เซียร์เรียสลี่] | อย่างจริงจัง
servant |n. [เซอร์แวนต์] | คนรับใช้
set (put) |v. [เซ็ต] | ตั้ง, วาง
set (group) |n. [เซ็ต] | ชุด
setting |n. [เซตติ้ง] | การตั้งค่า, ฉาก
sex |n. [เซ็กซ์] | เพศ
sexual |adj. [เซ็กชวล] | ทางเพศ
shake |n. [เชค] | การสั่น
share |n. [แชร์] | แบ่งปัน, การแบ่งปัน
sharp |adj. [ชาร์ป] | คม, ชัดเจน
shelf |n. [เชลฟ์] | ชั้นวาง
shell |n. [เชลล์] | เปลือก
shift |n. [ชิฟท์] | การเปลี่ยนแปลง
shine |v. [ไชน์] | ส่องแสง
shiny |adj. [ไชนี่] | มันวาว
shoot |v. [ชูต] | ยิง, ถ่ายภาพ
shy |adj. [ชายนี่] | ขี้อาย
sight |n. [ไซท์] | การมองเห็น
signal |n., v. [ซิกแนล] | สัญญาณ, ส่งสัญญาณ
silent |adj. [ไซเลนต์] | เงียบ
silly |adj. [ซิลลี่] | โง่, งี่เง่า
similarity |n. [ซิมมิลาร์ริที้] | ความคล้ายคลึง
similarly |adv. [ซิมมิลาร์ลี่] | อย่างคล้ายคลึงกัน
simply |adv. [ซิมพลี่] | อย่างง่ายดาย
since |adv. [ซินซ์] | ตั้งแต่
sink |v. [ซิงค์] | จม
slice |n., v. [สไลซ์] | แผ่นบาง, หั่นเป็นชิ้น
slightly |adv. [สไลทลี่] | เล็กน้อย
slow |v. [สโลว์] | ช้า, ลดความเร็ว
smart |adj. [สมาร์ท] | ฉลาด, ทันสมัย
smooth |adj. [สมูธ] | เรียบ, ลื่น
software |n. [ซอฟต์แวร์] | ซอฟต์แวร์
soil |n. [ซอยล์] | ดิน
solid |adj., n. [ซอลิด] | แข็ง, ของแข็ง
sort |v. [ซอร์ท] | จัดประเภท
southern |adj. [ซัธเทิร์น] | ทางใต้
specifically |adv. [สเปซิฟิคัลลี่] | โดยเฉพาะเจาะจง
spending |n. [สเพนดิ้ง] | การใช้จ่าย
spicy |adj. [สไปซี่] | เผ็ด
spirit |n. [สปิริต] | จิตวิญญาณ
spoken |adj. [สโปเคน] | ที่พูดออกมา
spot |n. [สปอต] | จุด, สถานที่
spread |v. [สเพรด] | กระจาย
spring |v. [สปริง] | เด้ง, กระโดด
stadium |n. [สเตเดียม] | สเตเดียม
staff |n. [สตาฟ] | พนักงาน
standard |n., adj. [สแตนดาร์ด] | มาตรฐาน
state |adj., v. [สเตท] | รัฐ, ระบุ
statistic |n. [สถิติ] | สถิติ
statue |n. [สแตทชู] | รูปปั้น
stick (push into/attach) |v. [สติก] | แทง, ติด
stick (piece of wood) |n. [สติก] | กิ่งไม้
still |adj. [สติลล์] | นิ่ง, ยัง
store |v. [สตอร์] | ร้านค้า, เก็บ
stranger |n. [สเตรนเจอร์] | คนแปลกหน้า
strength |n. [สเตร็งธ์] | ความแข็งแรง
string |n. [สตริง] | เชือก, สาย
strongly |adv. [สตรองลี่] | อย่างมั่นคง
studio |n. [สตูดิโอ] | สตูดิโอ
stuff |n. [สตัฟ] | สิ่งของ, เนื้อหา
substance |n. [ซับสแตนซ์] | สสาร, เนื้อหา
successfully |adv. [ซัคเซสฟูลลี่] | อย่างประสบความสำเร็จ
sudden |adj. [ซัดเดน] | ทันทีทันใด
suffer |v. [ซัฟเฟอร์] | ทนทุกข์
suit |v. [ซูท] | เหมาะสม, สูท
suitable |adj. [ซูเทเบิล] | ที่เหมาะสม
summarize |v. [ซัมมารายส์] | สรุป
summary |n. [ซัมมารี] | บทสรุป
supply |n., v. [ซัพพลาย] | การจัดหา, จัดหา
supporter |n. [ซัพพอร์ตเตอร์] | ผู้สนับสนุน
surely |adv. [ชัวร์ลี่] | อย่างแน่นอน
surface |n. [เซอเฟซ] | ผิวหน้า
survive |v. [เซอร์ไวย์ฟ] | รอดชีวิต
swim |n. [สวิม] | การว่ายน้ำ
switch |v. [สวิทช์] | เปลี่ยน, สวิตช์
symptom |n. [ซิมพ์ทอม] | อาการ
tail |n. [เทล] | หาง
talent |n. [ทาเลนต์] | ความสามารถ
talented |adj. [ทาเลนทิด] | ที่มีความสามารถ
tape |n. [เทป] | เทป, บันทึก
tax |n., v. [แท็กซ์] | ภาษี, เก็บภาษี
technical |adj. [เทคนิคัล] | ทางเทคนิค
technique |n. [เทคนิค] | เทคนิค
tend |v. [เทนด์] | แนวโน้ม
tent |n. [เท็นต์] | เต็นท์
that |adv. [แธท] | นั้น
theirs |pron. [แดร์ส] | ของพวกเขา
theme |n. [ธีม] | ธีม, หัวข้อ
theory |n. [ธีโอรี] | ทฤษฎี
therefore |adv. [เธียร์ฟอร์] | ดังนั้น
this |adv. [ธิส] | นี้
though |conj., adv. [โธ] | แต่, แม้ว่า
throat |n. [โธรท] | คอ
throughout |prep./adv. [ธรูอาวท์] | ตลอด
tight |adj. [ไทท์] | แน่น
till |conj./prep. [ทิลล์] | จนกระทั่ง
tin |n. [ทิน] | กระป๋อง
tiny |adj. [ไทนี่] | เล็กมาก
tip |v. [ทิป] | ชี้, ให้ทิป
toe |n. [โท] | นิ้วเท้า
tongue |n. [ทัง] | ลิ้น
total |adj., n. [โททัล] | รวมทั้งหมด, ผลรวม
totally |adv. [โททัลลี่] | อย่างสมบูรณ์
touch |n. [ทัช] | การสัมผัส
tour |v. [ทัวร์] | ทัวร์, เที่ยวชม
trade |n., v. [เทรด] | การค้า, แลกเปลี่ยน
translate |v. [แทรนสเลต] | แปล
translation |n. [แทรนสเลชัน] | การแปล
transport |v. [ทรานสปอร์ต] | ขนส่ง
treat |v. [ทรีต] | ปฏิบัติ, รักษา
treatment |n. [ทรีตเมนต์] | การรักษา
trend |n. [เทรนด์] | แนวโน้ม
trick |n., v. [ทริค] | กล trick, หลอกลวง
truth |n. [ทรูธ] | ความจริง
tube |n. [ทูบ] | หลอด
type |v. [ไทป์] | ประเภท, พิมพ์
typically |adv. [ทิปปิคัลลี่] | โดยปกติ
tyre |n. [ไทร์] | ยางรถยนต์
ugly |adj. [อักลี่] | น่าเกลียด
unable |adj. [อันเอเบิล] | ไม่สามารถ
uncomfortable |adj. [อันคอมฟอร์เทเบิล] | ไม่สะดวกสบาย
underwear |n. [อันเดอร์แวร์] | ชุดชั้นใน
unemployed |adj. [อันเอมพลอยด์] | ว่างงาน
unemployment |n. [อันเอมพลอยเมนต์] | การว่างงาน
unfair |adj. [อันแฟร์] | ไม่ยุติธรรม
union |n. [ยูเนียน] | สหภาพ
unless |conj. [อันเลส] | เว้นแต่
unlike |prep. [อันไลค์] | แตกต่างจาก
unlikely |adj. [อันไลค์ลี่] | ไม่น่าเป็นไปได้
unnecessary |adj. [อันเนสเซอรี] | ที่ไม่จำเป็น
unpleasant |adj. [อันพเลเซินท์] | ไม่พอใจ
update |v., n. [อัพเดท] | อัปเดต, การอัปเดต
upon |prep. [อัพพอน] | บน, เมื่อ
upset |adj., v. [อัพเซ็ท] | ไม่พอใจ, ทำให้ไม่พอใจ
used (1) |adj. [ยูสด] | ที่ใช้แล้ว
used (2) |adj. [ยูส] | ใช้เป็นประจำ
valuable |adj. [แวลูเอเบิล] | มีค่า
value |n. [แวลู] | มูลค่า
various |adj. [เวเรียส] | หลากหลาย
version |n. [เวอร์ชัน] | เวอร์ชัน
victim |n. [วิคทิม] | เหยื่อ
view |v. [วิว] | ดู, มุมมอง
viewer |n. [วิวเวอร์] | ผู้ชม
violent |adj. [ไวโอลент] | รุนแรง
volunteer |n., v. [วอลันทีร์] | อาสาสมัคร, อาสา
vote |n., v. [โหวต] | การลงคะแนน, ลงคะแนน
warm |v. [วอร์ม] | ทำให้ร้อนขึ้น
warn |v. [วอร์น] | เตือน
warning |n. [วอร์นิง] | การเตือน
waste |n., v., adj. [เวสต์] | ขยะ, ใช้โดยเปล่าประโยชน์, ฟุ่มเฟือย
water |v. [วอเตอร์] | รดน้ำ
wave |v. [เวฟ] | คลื่น, โบกมือ
weapon |n. [เวพพอน] | อาวุธ
weigh |v. [เว] | ชั่งน้ำหนัก
western |adj. [เวสเทิร์น] | ทางตะวันตก
whatever |det./pron. [วอทเอเวอร์] | อะไรก็ตามที่
whenever |conj. [เวนเอเวอร์] | ทุกครั้งที่
whether |conj. [เวเธอร์] | หรือไม่
while |n. [ไวล์] | ขณะ, ระยะเวลา
whole |n. [โฮล] | ทั้งหมด
will |n. [วิลล์] | เจตจำนง
win |n. [วิน] | ชนะ
wing |n. [วิง] | ปีก
within |prep. [วิธิน] | ภายใน
wonder |v., n. [วันเดอร์] | สงสัย, ความสงสัย
wool |n. [วูล] | ขนสัตว์
worldwide |adj., adv. [เวิลด์ไวด์] | ทั่วโลก
worry |n. [วอรี่] | ความกังวล
worse |adv. [เวิร์ส] | แย่กว่า
worst |adv. [เวิร์สท] | แย่ที่สุด
worth |adj. [เวิร์ธ] | คุ้มค่า
written |adj. [ริทเทน] | ที่เขียน
wrong |adv. [รอง] | ผิด
yard |n. [ยาร์ด] | สนาม, บริเวณ
young |n. [ยัง] | เยาวชน
youth |n. [ยูธ] | วัยรุ่น
abandon | (v.) [แอะแบนดอน] | ทิ้ง
absolute | (adj.) [แอ็บโซลูท] | แน่นอน
academic | (n.) [แอคคาเดมิก] | นักวิชาการ
acceptable | (adj.) [แอคเซ็พทาเบิล] | ยอมรับได้
accompany | (v.) [แอคคัมพานี] | ไปพร้อมกับ
account | (v.) [แอคเคานท์] | บัญชี, รายงาน
accurate | (adj.) [แอคคิวเรท] | ถูกต้องแม่นยำ
accuse | (v.) [แอคคิวซ] | กล่าวหา
acknowledge | (v.) [แอคโนเลจ] | รับรู้, ยอมรับ
acquire | (v.) [แอคควายร์] | ได้รับ
actual | (adj.) [แอคชวล] | ที่เป็นจริง
adapt | (v.) [อะแดพท์] | ปรับตัว
additional | (adj.) [อะดิชันนัล] | เพิ่มเติม
address | (v.) [แอดเดรส] | ที่อยู่, กล่าวถึง
administration | (n.) [แอดมินิสเตรชั่น] | การบริหาร
adopt | (v.) [อะดอพท์] | รับเลี้ยง, นำมาใช้
advance | (n., v., adj.) [แอดวานซ์] | ความก้าวหน้า, ก้าวหน้า, ล่วงหน้า
affair | (n.) [แอฟแฟร์] | เรื่อง, กิจการ
afterwards | (adv.) [แอฟเตอร์เวิร์ด] | หลังจากนั้น
agency | (n.) [เอเจนซี] | ตัวแทน, สำนักงาน
agenda | (n.) [อาเจนด้า] | ระเบียบวาระการประชุม
aggressive | (adj.) [แอกราเซฟ] | ก้าวร้าว
aid | (n., v.) [เอด] | ความช่วยเหลือ, ช่วยเหลือ
aircraft | (n.) [แอร์คราฟต์] | เครื่องบิน
alarm | (v.) [อะลาร์ม] | เตือนภัย
alter | (v.) [ออลเทอร์] | เปลี่ยนแปลง
amount | (v.) [อะเมาท์] | จำนวน, รวมถึง
anger | (n.) [แองเจอร์] | ความโกรธ
angle | (n.) [แองเกิล] | มุม
anniversary | (n.) [แอนนิเวอเซอรี] | วันครบรอบ
annual | (adj.) [แอนนวล] | ประจำปี
anxious | (adj.) [แอนเซียส] | วิตกกังวล
apparent | (adj.) [แอพพาเรนต์] | ชัดเจน
apparently | (adv.) [แอพพาเรนทลี่] | อย่างเห็นได้ชัด
appeal | (n., v.) [แอพพีล] | การอุทธรณ์, อุทธรณ์
approach | (n., v.) [แอพโพรช] | วิธีการ, เข้าหา
appropriate | (adj.) [แอพโพรพรีเอท] | เหมาะสม
approval | (n.) [แอพพรูเวล] | การอนุมัติ
approve | (v.) [แอพพรูฟ] | อนุมัติ
arise | (v.) [อะไรซ์] | เกิดขึ้น
armed | (adj.) [อาร์มด์] | ติดอาวุธ
arms | (n.) [อาร์มส์] | อาวุธ
artificial | (adj.) [อาร์ติฟิเชียล] | เทียม
artistic | (adj.) [อาร์ทิสติก] | ทางศิลปะ
ashamed | (adj.) [อะแชร์เมด] | รู้สึกละอาย
aspect | (n.) [แอสเพค] | ด้าน, แง่มุม
assess | (v.) [แอสเซส] | ประเมิน
assessment | (n.) [แอสเซสเมนท์] | การประเมิน
associate | (v.) [อะโซซิเอท] | เชื่อมโยง, ร่วมงาน
associated | (adj.) [อะโซซิเอทิด] | ที่เกี่ยวข้อง
association | (n.) [อะโซซิเอชัน] | สมาคม
assume | (v.) [แอสซูม] | สมมติ
attempt | (n., v.) [อะเทมพ์] | ความพยายาม, พยายาม
back | (v.) [แบ็ค] | กลับ, สนับสนุน
bacteria | (n.) [แบคทีเรีย] | แบคทีเรีย
bar | (v.) [บาร์] | สกัดกั้น, ขึ้นบาร์
barrier | (n.) [แบร์เรียร์] | อุปสรรค
basically | (adv.) [เบสิคัลลี่] | โดยพื้นฐาน
battle | (v.) [แบทเทิล] | สงคราม, ต่อสู้
bear (deal with) | (v.) [แบร์] | ทน, รับมือ
beat | (n.) [บีท] | จังหวะ, ชนะ
beg | (v.) [เบ็ก] | ขอ
being | (n.) [บีอิ้ง] | การมีอยู่
bent | (adj.) [เบนท์] | โค้ง, แนวโน้ม
bet | (v., n.) [เบท] | เดิมพัน, การเดิมพัน
beyond | (prep., adv.) [บียอนด์] | เกินกว่า
bill | (v.) [บิล] | ใบเรียกเก็บเงิน, เสนอ
bitter | (adj.) [บิทเทอร์] | ขม
blame | (v., n.) [เบลม] | โทษ, ความผิด
blind | (adj.) [บลายด์] | ตาบอด
bond | (n.) [บอนด์] | พันธะ, ตราสาร
border | (v.) [บอร์เดอร์] | ขอบเขต, ติดกับ
breast | (n.) [เบรสต์] | อก
brief | (adj.) [บรีฟ] | สั้น
broad | (adj.) [บรอด] | กว้าง
broadcast | v., n. [บรอดแคสต์] | ถ่ายทอดสด, การออกอากาศ
budget | (n.) [บัดเจ็ต] | งบประมาณ
bullet | (n.) [บูลเลต] | กระสุน
bunch | (n.) [บันช์] | ช่อ, กลุ่ม
burn | (n.) [เบิร์น] | ไหม้, การเผาไหม้
bush | (n.) [บุช] | พุ่มไม้
but | (prep.) [บัท] | แต่
cable | (n.) [เคเบิล] | สายเคเบิล
calculate | (v.) [แคลคิวเลท] | คำนวณ
cancel | (v.) [แคนเซิล] | ยกเลิก
cancer | (n.) [แคงเซอร์] | มะเร็ง
capable | (adj.) [เคปเอเบิล] | มีความสามารถ
capacity | (n.) [คาปาซิตี้] | ความจุ
capture | (v., n.) [แคพเจอร์] | จับ, การจับกุม
cast | (n., v.) [แคสต์] | เหวี่ยง, การหล่อ
catch | (n.) [แคทช์] | จับ, การจับ
cell | (n.) [เซลล์] | เซลล์
chain | (v.) [เชน] | โซ่, เชื่อมโยง
chair | (v.) [แชร์] | เก้าอี้, เป็นประธาน
chairman | (n.) [แชร์แมน] | ประธาน
challenge | (v.) [แชลเลนจ์] | ความท้าทาย, ท้าทาย
characteristic | (n., adj.) [แคแรกเตอร์ริสติก] | ลักษณะเฉพาะ, ซึ่งเป็นลักษณะเฉพาะ
chart | (v.) [ชาร์ต] | แผนภูมิ, สร้างแผนภูมิ
chief | (adj., n.) [ชีฟ] | หัวหน้า, ประธาน
circumstance | (n.) [เซอร์คัมสแตนซ์] | สถานการณ์
cite | (v.) [ไซท์] | อ้างอิง
citizen | (n.) [ซิติเซ่น] | พลเมือง
civil | (adj.) [ซิวิล] | ทางพลเรือน
classic | (adj., n.) [คลาสสิก] | คลาสสิก, งานคลาสสิก
close | (v.) [โคลส] | ปิด, ใกล้
closely | (adv.) [โคลสลี่] | อย่างใกล้ชิด
collapse | (v., n.) [คอลลapse] | ล้มเหลว, การล้มเหลว
combination | (n.) [คอมบิเนชั่น] | การรวมกัน
comfort | (n., v.) [คอมฟอร์ท] | ความสะดวกสบาย, สะดวกสบาย
command | (n., v.) [คอมมานด์] | คำสั่ง, สั่งการ
commission | (n., v.) [คอมมิชชั่น] | คณะกรรมการ, มอบหมาย
commitment | (n.) [คอมมิทเมนต์] | ความมุ่งมั่น
committee | (n.) [คอมมิทตี] | คณะกรรมการ
commonly | (adv.) [คอมมอนลี่] | โดยทั่วไป
complex | (n.) [คอมเพล็กซ์] | ความซับซ้อน
complicated | (adj.) [คอมพลิเคทด] | ซับซ้อน
component | (n.) [คอมโพเนนท์] | ส่วนประกอบ
concentration | (n.) [คอนเซนเทรชั่น] | การมุ่งเน้น
concept | (n.) [คอนเซ็ปท์] | แนวคิด
concern | (n., v.) [คอนเซิร์น] | ความกังวล, กังวล
concerned | (adj.) [คอนเซิร์นด] | กังวล
conduct | (v., n.) [คอนดักท์] | ดำเนินการ, การดำเนินการ
confidence | (n.) [คอนฟิเดนซ์] | ความมั่นใจ
conflict | (n., v.) [คอนฟลิคท์] | ความขัดแย้ง, ขัดแย้ง
confusing | (adj.) [คอนฟิวซิ่ง] | สับสน
conscious | (adj.) [คอนเชียส] | มีสติสัมปชัญญะ
conservative | (adj., n.) [คอนเซอเวทีฟ] | อนุรักษ์นิยม, ผู้อนุรักษ์นิยม
consideration | (n.) [คอนซิเดอเรชั่น] | การพิจารณา
consistent | (adj.) [คอนซิสเทนท์] | สม่ำเสมอ
constant | (adj.) [คอนสแทนท์] | คงที่
constantly | (adv.) [คอนสแทนทลี่] | อย่างต่อเนื่อง
construct | (v.) [คอนสตรัคท์] | สร้าง
construction | (n.) [คอนสตรัคชั่น] | การก่อสร้าง
contemporary | (adj.) [คอนเทมโพรารี] | ร่วมสมัย
contest | (n., v.) [คอนเทสต์] | การแข่งขัน, แข่งขัน
contract | (n., v.) [คอนแทรคท์] | สัญญา, ทำสัญญา
contribute | (v.) [คอนทริบิวท์] | บริจาค
contribution | (n.) [คอนทริบิวชัน] | การบริจาค
convert | (v.) [คอนเวิร์ท] | เปลี่ยนแปลง
convinced | (adj.) [คอนวินซ์] | เชื่อมั่น
core | (n., adj.) [คอร์] | แกน, หลัก
corporate | (adj.) [คอร์พอเรต] | เกี่ยวกับบริษัท
council | (n.) [เคาน์ซิล] | สภา
county | (n.) [เคาน์ตี] | เขต
courage | (n.) [คอเรจ] | ความกล้าหาญ
crash | (n., v.) [แครช] | อุบัติเหตุ, ชน
creation | (n.) [ครีเอชัน] | การสร้าง
creature | (n.) [ครีเชอร์] | สิ่งมีชีวิต
credit | (v.) [เครดิท] | สงวนเครดิต, ให้เครดิต
crew | (n.) [ครู] | ลูกเรือ
crisis | (n.) [ไครซิส] | วิกฤต
criterion | (n.) [ไครทีเรียน] | เกณฑ์
critic | (n.) [คริติก] | นักวิจารณ์
critical | (adj.) [คริติคัล] | วิจารณ์, สำคัญ
criticism | (n.) [คริติซิซึ่ม] | การวิจารณ์
criticize | (v.) [คริติคไซซ์] | วิจารณ์
crop | (n.) [ครอป] | ผลผลิต, เก็บเกี่ยว
crucial | (adj.) [ครูเชียล] | สำคัญ
cry | (n.) [คราย] | การร้องไห้, ร้องออกมา
cure | (v., n.) [คิวร์] | รักษา, การรักษา
current | (n.) [เคอเรนท์] | กระแส, ปัจจุบัน
curve | (n., v.) [เคิร์ฟ] | เส้นโค้ง, โค้ง
curved | (adj.) [เคิร์ฟด] | โค้ง
date | (v.) [เดท] | วันที่, นัดหมาย
debate | (n., v.) [ดีเบท] | การอภิปราย, อภิปราย
debt | (n.) [เดบต์] | หนี้
decent | (adj.) [ดีเซนท์] | เหมาะสม
declare | (v.) [ดีแคลร์] | ประกาศ
decline | (v., n.) [ดีไคลน์] | ลดลง, การปฏิเสธ
decoration | (n.) [เดคคอเรชั่น] | การตกแต่ง
decrease | (v., n.) [ดีครีส] | ลดลง, การลดลง
deeply | (adv.) [ดีพลี่] | อย่างลึกซึ้ง
defeat | (v., n.) [ดิฟีท] | ปราบ, ความพ่ายแพ้
defence | (n.) [ดีเฟนซ์] | การป้องกัน
defend | (v.) [ดีเฟนด์] | ปกป้อง
delay | (v., n.) [ดีเลย์] | ล่าช้า, การล่าช้า
deliberate | (adj.) [ดีลิเบอเรท] | ที่คิดอย่างรอบคอบ
deliberately | (adv.) [ดีลิเบอเรทลี่] | อย่างตั้งใจ
delight | (v., n.) [ดีไลท์] | ยินดี, ความยินดี
delighted | (adj.) [ดีไลทิด] | รู้สึกยินดี
delivery | (n.) [ดีลิเวอรี] | การจัดส่ง
demand | (n., v.) [ดีแมนด์] | ความต้องการ, ต้องการ
demonstrate | (v.) [เดมอนสเตรท] | แสดงให้เห็น
deny | (v.) [ดีไน] | ปฏิเสธ
depressed | (adj.) [ดีเพรส] | รู้สึกซึมเศร้า
depressing | (adj.) [ดีเพรสซิ่ง] | ซึ่งทำให้รู้สึกซึมเศร้า
depth | (n.) [เดพ] | ความลึก
desert | (v.) [ดีเซิร์ท] | ทิ้ง, ทะเลทราย
deserve | (v.) [ดีเซิร์ฟ] | สมควรได้รับ
desire | (n., v.) [ดีไซร์] | ความปรารถนา, ปรารถนา
desperate | (adj.) [เดสเพอเรท] | สิ้นหวัง
detail | (v.) [ดีเทล] | รายละเอียด, ให้รายละเอียด
detailed | (adj.) [ดีเทลด์] | ซึ่งมีรายละเอียด
detect | (v.) [ดีเทคต์] | ตรวจพบ
dig | (v.) [ดิ๊ก] | ขุด
disc | (n.) [ดิสก์] | แผ่นดิสก์
discipline | (n.) [ดิสซิปปลิน] | ระเบียบวินัย
discount | (v.) [ดิสเคานต์] | ลดราคา
